cik,cik_full,ticker,accn,form,fy,10k_path
1329394,0001329394,SIMO,0001795250-21-000015,10-K,2021,https://www.sec.gov/Archives/edgar/data/1329394/000179525021000015/0001795250-21-000015.txt
1161728,0001161728,MGEE,0001161728-21-000013,10-K,2020,https://www.sec.gov/Archives/edgar/data/1161728/000116172821000013/0001161728-21-000013.txt
1590364,0001590364,FTAI,0001590364-21-000002,10-K,2020,https://www.sec.gov/Archives/edgar/data/1590364/000159036421000002/0001590364-21-000002.txt
1682745,0001682745,VRRM,0001564590-21-009903,10-K,2020,https://www.sec.gov/Archives/edgar/data/1682745/000156459021009903/0001564590-21-009903.txt
1793229,0001793229,MPLN,0001793229-21-000004,10-K,2020,https://www.sec.gov/Archives/edgar/data/1793229/000179322921000004/0001793229-21-000004.txt
278166,0000278166,CVCO,0000278166-21-000029,10-K,2021,https://www.sec.gov/Archives/edgar/data/278166/000027816621000029/0000278166-21-000029.txt
1563411,0001563411,CSTM,0000278166-21-000029,10-K,2021,https://www.sec.gov/Archives/edgar/data/1563411/000027816621000029/0000278166-21-000029.txt
1835591,0001835591,VZIO,0000278166-21-000029,10-K,2021,https://www.sec.gov/Archives/edgar/data/1835591/000027816621000029/0000278166-21-000029.txt
1328237,0001328237,DBC,0001564590-21-009012,10-K,2020,https://www.sec.gov/Archives/edgar/data/1328237/000156459021009012/0001564590-21-009012.txt
1577526,0001577526,AI,0001628280-21-012990,10-K,2021,https://www.sec.gov/Archives/edgar/data/1577526/000162828021012990/0001628280-21-012990.txt
1178879,0001178879,FOLD,0001178879-21-000004,10-K,2020,https://www.sec.gov/Archives/edgar/data/1178879/000117887921000004/0001178879-21-000004.txt
67887,0000067887,MOG-A,0000067887-21-000065,10-K,2021,https://www.sec.gov/Archives/edgar/data/67887/000006788721000065/0000067887-21-000065.txt
1142596,0001142596,NUVA,0001564590-21-008934,10-K,2020,https://www.sec.gov/Archives/edgar/data/1142596/000156459021008934/0001564590-21-008934.txt
1265131,0001265131,HTH,0001558370-22-001187,10-K,2021,https://www.sec.gov/Archives/edgar/data/1265131/000155837022001187/0001558370-22-001187.txt
1073349,0001073349,EPAY,0001073349-21-000114,10-K,2021,https://www.sec.gov/Archives/edgar/data/1073349/000107334921000114/0001073349-21-000114.txt
884713,0000884713,PRMW,0000884713-21-000004,10-K,2020,https://www.sec.gov/Archives/edgar/data/884713/000088471321000004/0000884713-21-000004.txt
1866581,0001866581,BROS,0000884713-21-000004,10-K,2020,https://www.sec.gov/Archives/edgar/data/1866581/000088471321000004/0000884713-21-000004.txt
1517302,0001517302,APAM,0001517302-21-000019,10-K,2020,https://www.sec.gov/Archives/edgar/data/1517302/000151730221000019/0001517302-21-000019.txt
746598,0000746598,BRC,0000746598-21-000102,10-K,2021,https://www.sec.gov/Archives/edgar/data/746598/000074659821000102/0000746598-21-000102.txt
1124804,0001124804,MDRX,0001564590-21-009410,10-K,2020,https://www.sec.gov/Archives/edgar/data/1124804/000156459021009410/0001564590-21-009410.txt
1712184,0001712184,LILA,0001712184-21-000031,10-K,2020,https://www.sec.gov/Archives/edgar/data/1712184/000171218421000031/0001712184-21-000031.txt
1704720,0001704720,CNNE,0001704720-21-000024,10-K,2020,https://www.sec.gov/Archives/edgar/data/1704720/000170472021000024/0001704720-21-000024.txt
1372920,0001372920,EDU,0001704720-21-000024,10-K,2020,https://www.sec.gov/Archives/edgar/data/1372920/000170472021000024/0001704720-21-000024.txt
897723,0000897723,SANM,0000897723-21-000028,10-K,2021,https://www.sec.gov/Archives/edgar/data/897723/000089772321000028/0000897723-21-000028.txt
1553079,0001553079,ESBA,0001628280-21-003420,10-K,2020,https://www.sec.gov/Archives/edgar/data/1553079/000162828021003420/0001628280-21-003420.txt
931148,0000931148,EAF,0000931148-21-000035,10-K,2020,https://www.sec.gov/Archives/edgar/data/931148/000093114821000035/0000931148-21-000035.txt
780571,0000780571,ITRI,0000780571-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/780571/000078057121000009/0000780571-21-000009.txt
1192448,0001192448,GKOS,0001558370-21-002061,10-K,2020,https://www.sec.gov/Archives/edgar/data/1192448/000155837021002061/0001558370-21-002061.txt
1466593,0001466593,OTTR,0001466593-22-000010,10-K,2021,https://www.sec.gov/Archives/edgar/data/1466593/000146659322000010/0001466593-22-000010.txt
