ticker,beta,trailingPE,priceToSalesTrailing12Months,priceToBook,trailingPegRatio,debtToEquity,returnOnEquity
AOS,1.125714,23.764706,3.236107,5.763679,,7.883,0.25661
ZION,1.414597,9.607234,3.2706687,1.4513168,,,0.15542
CTXS,0.042574,40.516285,4.0064006,31.801744,,877.975,1.35183
AAL,1.64346,,0.34042048,,,,
REG,1.110649,34.86082,9.952506,1.9020164,,64.659,0.05491
JKHY,0.600696,35.785408,6.6168118,8.845276,,8.828,
JNPR,0.866493,76.288895,2.3965702,2.5459805,,42.13,0.03367
TAP,1.062857,,1.1166363,0.8352122,,55.598,-0.03281
WYNN,2.41974,,2.894985,,,,
UHS,1.155844,12.062304,0.96713275,1.919751,,63.802,0.17104
NWL,0.963636,16.893618,0.96753824,2.498951,,141.582,0.15448
ALLE,1.143943,23.143925,3.659021,12.216917,,175.496,0.54759
CDAY,1.484076,,10.901668,4.729215,,52.944,-0.03908
IVZ,1.196419,7.9288535,1.341912,0.8357985,,13.774,0.12425
HSIC,0.790649,19.858866,0.98869705,3.510099,,23.782,0.14878
GL,1.10961,13.490859,1.9943776,1.170589,,22.534,0.091630004
BWA,1.471688,12.440773,0.63334835,1.4398586,,64.8,0.14575
LUMN,0.980739,,0.55028,0.9893048,,269.606,-0.06143
PNR,1.074805,19.420721,2.7178195,4.1524525,,33.433,0.23118
MHK,1.494545,2.8030674,0.85484225,1.0876598,,30.789,0.12918
LW,0.707532,34.908573,2.3584135,20.878332,,645.461,0.68027
SEE,1.28987,22.229176,1.8719267,78.95907,,3033.907,6.04073
DXC,2.398961,20.618422,0.4694003,1.6565357,,125.162,0.080129996
AIZ,0.633515,7.536335,0.9236071,1.7092648,,38.331,0.09041
FRT,1.125194,39.827587,10.211079,4.0597544,,156.281,0.09538999
RL,1.525714,23.038652,1.6375253,3.2069302,,121.8,0.14932999
PBCT,0.99453,29.60114,4.5823593,1.1644719,,,0.07803
NCLH,2.698181,,45.480553,2.38193,,454.661,-1.05374
VTR,1.196916,106.71078,5.9922547,2.0343075,,107.258,0.01889
FLT,1.351069,24.089407,6.685898,5.9672136,,208.53,0.26985002
ULTA,1.652467,23.949883,2.4967499,10.188675,,92.626,0.45192
NTAP,1.20935,19.635303,2.9676266,23.725029,,383.004,1.66873
TDY,1.115053,44.4753,5.0948553,2.7806332,,62.066,0.0796
ENPH,1.183983,138.04688,17.384212,33.103664,,161.008,0.31174
SNOW,,,66.87731,13.687298,,4.072,-0.14973
ENB,0.940949,19.946115,2.0197694,1.6561649,,109.967,0.09389
UBER,1.29209,,4.1463823,4.211924,,78.439,-0.19708
CP,0.724646,20.348518,8.651677,5.2229347,,110.234,0.36628
WDAY,1.348051,2097.1794,12.533352,14.550791,,50.634,0.00848
SNAP,1.08789,,15.388205,16.640224,,75.601,-0.22118
KDP,0.659453,31.90909,4.410492,2.2432024,,57.685,0.07253
VMW,0.918398,25.120266,3.9956722,4.9292016,,114.719,0.21656999
XLNX,0.952863,60.552963,13.9290905,14.226699,,45.444,0.27349
PANW,1.373506,,12.413889,109.075516,,765.388,-0.80622
SCCO,1.08354,18.438726,5.3190374,7.1839194,,90.036,0.44062
GLD,,30.417229,,,,,
ZM,-1.021545,30.058464,8.618371,6.589956,,1.905,0.34644002
CRWD,1.375652,,34.078487,46.19589,,80.947,-0.23629999
TTD,2.330389,141.31908,36.421757,29.243822,,22.53,0.26376
ZS,0.905383,,44.549683,63.927628,,184.466,-0.58265
NET,0.662732,,62.37146,39.2009,,146.266,-0.25819
KKR,1.478961,6.4652567,1.2668169,2.1301382,,74.548,0.34862
TWLO,1.283116,,10.984604,2.5239687,,11.638,-0.09948
MPLX,1.830129,12.041343,3.6011941,2.8127964,,137.204,0.21443
DASH,,,7.653082,7.4622045,,7.844,-0.20495
ET,2.290909,5.780379,0.5611218,1.290443,,128.185,0.18448
WCN,0.752362,58.91441,5.6088414,4.9522905,,75.526,0.08927
U,,,27.329624,13.786491,,6.221,-0.22569999
IBKR,0.660779,18.024727,9.324321,2.5785396,,107.502,0.18084998
OKTA,1.055159,,22.682255,4.3636837,,33.708,-0.20495
LCID,,,8559.006,7.6685867,,4.472,
MDB,0.645833,,28.066277,32.933777,,187.281,-0.87108004
LBRDA,0.966233,41.787262,30.835045,2.1729832,,38.932,0.05639
PLTR,,,14.744679,10.044288,,11.352,-0.27291
CSGP,0.849328,97.48752,12.296744,4.129837,,19.955,0.043119997
ON,1.743376,40.15013,4.1799054,6.4260345,,78.279,0.17772
PCG,1.406753,,1.2765353,1.10831,,213.663,-0.0179
VEEV,0.772467,72.61654,16.856071,10.718606,,2.023,0.1777
CVNA,2.299137,,2.0117822,27.412758,,558.051,-0.31052
SIRI,0.999493,80.259735,2.8727157,,,,
